Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_HMM20_IPMCMC4-5-5,9.311811943581577e-2,8.949385406308806e-2,9.679238496502647e-2,5.564664910224988e-3,4.683469039806123e-3,6.806811760375659e-3
MonadBayes_HMM20_IPMCMC4-6-5,0.1099333849454996,0.10714306219781575,0.114201851232198,5.410504613429676e-3,1.5984736827461081e-3,7.314399780600266e-3
MonadBayes_HMM20_IPMCMC4-7-5,0.12830613586424283,0.1259164854186369,0.13105761558931545,3.823454489385175e-3,2.740278564539928e-3,5.408050728286338e-3
MonadBayes_HMM20_IPMCMC4-8-5,0.1452198673358455,0.14340102036735033,0.1473644797616631,2.650648180100748e-3,1.6022879358091695e-3,3.7569542021596986e-3
MonadBayes_HMM20_IPMCMC4-9-5,0.1893086532087569,0.16998135924552937,0.20863594717198444,2.5062816609743587e-2,1.711183608607725e-2,3.246013918654662e-2
MonadBayes_HMM20_IPMCMC4-10-5,0.21986994377748723,0.18481568039716273,0.256223910883602,4.7382758444156535e-2,3.762031963980077e-2,5.1940513764679425e-2
MonadBayes_LDA10_IPMCMC4-1-5,5.672169501650202e-2,4.9646688703514706e-2,6.592852055316677e-2,1.4500381047524222e-2,1.0825330872648243e-2,1.9634296617400075e-2
MonadBayes_LDA10_IPMCMC4-2-5,9.035957177431855e-2,7.934112481842716e-2,0.10770976862251802,2.0886045385506286e-2,1.3378317864556019e-3,2.5319013037062108e-2
MonadBayes_LDA10_IPMCMC4-3-5,0.12298941257428432,0.11829510493726955,0.12771760927451334,6.876953621410121e-3,4.7234731234024885e-3,9.161792483082366e-3
MonadBayes_LDA10_IPMCMC4-4-5,0.181472886932063,0.16195749980014484,0.23553600416825637,4.033021749927234e-2,1.1922587539606763e-3,5.274137999094567e-2
MonadBayes_LDA10_IPMCMC4-5-5,0.2901865663761172,0.23785212597691527,0.316433179236546,4.997412308019165e-2,3.666989928048228e-4,6.0613956001137795e-2
MonadBayes_LDA10_IPMCMC4-6-5,0.30863712216305395,0.2500660603763169,0.3349109774251793,4.347168657293502e-2,1.9787390071913102e-2,6.067686963294928e-2
MonadBayes_LDA10_IPMCMC4-7-5,0.3896203580529278,0.37482682104979387,0.3990142637284131,1.4143322269549657e-2,0.0,1.627072191145023e-2
MonadBayes_LDA10_IPMCMC4-8-5,0.33159058133242036,0.3180412416534032,0.3549817040483346,2.2229561211551015e-2,1.8896405853179553e-3,2.7954562286020314e-2
MonadBayes_LDA10_IPMCMC4-9-5,0.3777921330439396,0.36781033203253327,0.3849505777210802,1.0817185086226217e-2,0.0,1.2398789883978455e-2
MonadBayes_LDA10_IPMCMC4-10-5,0.45497870551854175,0.4496446575611513,0.4587864582339069,5.748948526886135e-3,0.0,6.595221165670736e-3
Anglican_LR50_IPMCMC4-1-5,6.521065186747296e-2,5.779587887096084e-2,7.184647718211964e-2,1.1781598139160422e-2,9.042656791996935e-3,1.479469673449215e-2
Anglican_LR50_IPMCMC4-2-5,7.435372202030746e-2,6.854351723367713e-2,7.729086509046347e-2,6.373557177649028e-3,2.8732160158649357e-3,9.873885730347903e-3
Anglican_LR50_IPMCMC4-3-5,7.377208812151946e-2,6.866366377280883e-2,7.646386352077962e-2,6.236493592567927e-3,2.9311779282738776e-3,9.991368061829346e-3
Anglican_LR50_IPMCMC4-4-5,7.568277075539227e-2,6.804981270609349e-2,7.88383147551853e-2,7.68130090866869e-3,2.7547007878464987e-3,1.2237560849130004e-2
Anglican_LR50_IPMCMC4-5-5,7.516038102406e-2,7.095783278175319e-2,7.745202453641553e-2,5.260427538780142e-3,2.8903437764929833e-3,8.255768148023826e-3
Anglican_LR50_IPMCMC4-6-5,7.463870986730435e-2,6.955160183737437e-2,7.727643747853587e-2,6.013678565269329e-3,1.9306805416557762e-3,8.551791166600573e-3
Anglican_LR50_IPMCMC4-7-5,7.878411717058097e-2,7.458575945069307e-2,8.94434392872595e-2,1.0181399156479715e-2,2.9228158735574343e-3,1.6658795180976637e-2
Anglican_LR50_IPMCMC4-8-5,7.007094928621851e-2,6.308785029734278e-2,7.599485218299734e-2,1.0719055785172621e-2,8.060881818100702e-3,1.4687441514210194e-2
