Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LDA10_IPMCMC3-5-5,0.15210716458887572,0.14787783611644542,0.15785302915719432,6.935655658585379e-3,3.8442790612731323e-3,9.59129116839227e-3
MonadBayes_LDA10_IPMCMC4-5-5,0.21113880204845295,0.19990417036909514,0.2315870746936207,1.9106643682888065e-2,2.5311593090152026e-3,2.5232594968639003e-2
MonadBayes_LDA10_IPMCMC5-5-5,0.2780745892199717,0.26753869506527395,0.2901402399696812,1.3484314500120229e-2,3.52530591093902e-3,1.857377934986089e-2
MonadBayes_LDA10_IPMCMC6-5-5,0.3255052080474891,0.31785482353857597,0.3394036806515791,1.337288124978697e-2,6.067878459224407e-4,1.639890292477628e-2
MonadBayes_LDA10_IPMCMC7-5-5,0.3955748317736518,0.3794744566554195,0.40655149391824974,1.6477100494506954e-2,0.0,1.9012136531961543e-2
MonadBayes_LDA10_IPMCMC8-5-5,0.46893929387968125,0.45277269513518464,0.47969002731197924,1.6126252708133646e-2,0.0,1.8620816523369457e-2
MonadBayes_LDA10_IPMCMC9-5-5,0.5424324470226957,0.5240703988241028,0.5604116291122504,3.081463721560731e-2,0.0,3.114085685764111e-2
MonadBayes_LDA10_IPMCMC10-5-5,0.6117970019133471,0.5999594037618793,0.6203886094351604,1.3015056373355692e-2,0.0,1.4881100746471596e-2
Anglican_LR50_IPMCMC1-5-5,7.449859738878768e-2,6.909657889781282e-2,7.748292004040296e-2,6.661854575887025e-3,3.8602213853371945e-3,1.0183318194182117e-2
Anglican_LR50_IPMCMC2-5-5,7.406952298479459e-2,6.327517812927747e-2,7.792422032179683e-2,1.079141312484079e-2,9.987944712178517e-4,1.7397567174309736e-2
Anglican_LR50_IPMCMC3-5-5,7.184178246487169e-2,6.149408442637823e-2,7.605123174202164e-2,1.0534548073872167e-2,4.818186151542088e-3,1.7294911347965233e-2
Anglican_LR50_IPMCMC4-5-5,7.063033061287373e-2,6.491811499034181e-2,7.499228703395051e-2,8.684460625693965e-3,6.097759303603438e-3,1.2205747707098095e-2
Anglican_LR50_IPMCMC5-5-5,7.654269267517266e-2,7.383221389267458e-2,7.842387311347197e-2,3.5485033318461796e-3,1.9754740917807385e-3,5.061696259082744e-3
Anglican_LR50_IPMCMC6-5-5,7.484627743833758e-2,7.197938146293169e-2,7.691345886568512e-2,4.147499866031455e-3,2.7705445009108846e-3,5.56301282581939e-3
Anglican_LR50_IPMCMC7-5-5,7.55026872430911e-2,7.386377696190724e-2,7.653972064217673e-2,2.2577812421123093e-3,9.439333065939215e-4,2.992921733840056e-3
Anglican_LR50_IPMCMC8-5-5,7.549254237933183e-2,7.160906650364814e-2,7.730812955520351e-2,4.174796276065322e-3,1.4031405302990323e-3,6.780179248122197e-3
Anglican_LR50_IPMCMC9-5-5,7.163776309901235e-2,6.541724906191466e-2,7.586068775903507e-2,8.514414418154469e-3,5.818131717979605e-3,1.204447292689287e-2
Anglican_LR50_IPMCMC10-5-5,7.257490988091345e-2,6.514265596400186e-2,7.65997027232675e-2,8.984616707317115e-3,4.1758885293976915e-3,1.3365871262735808e-2
Anglican_HMM20_IPMCMC1-5-5,7.961014064287968e-2,7.5974950787927e-2,8.861077995741717e-2,9.00425622768771e-3,1.5182951079681026e-3,1.507564789162524e-2
Anglican_HMM20_IPMCMC2-5-5,7.580340265123779e-2,7.383266769171346e-2,7.732616401537984e-2,2.908206780706223e-3,2.25694531723664e-3,3.8448969284129338e-3
Anglican_HMM20_IPMCMC3-5-5,7.701489543339177e-2,7.60095443089865e-2,7.797478246038063e-2,1.5689714207663408e-3,9.972584948060438e-4,2.315397021680609e-3
Anglican_HMM20_IPMCMC4-5-5,7.449245066736598e-2,6.717730486750297e-2,7.754744982085054e-2,7.43581759215065e-3,1.900983668395542e-3,1.2229566160366323e-2
Anglican_HMM20_IPMCMC5-5-5,6.991208614402264e-2,6.271776770367653e-2,7.461675364177067e-2,1.0199112984728042e-2,5.5626104371856305e-3,1.5632662436126717e-2
Anglican_HMM20_IPMCMC6-5-5,6.661416929783755e-2,5.873399169225837e-2,7.473269842122165e-2,1.3752891789074732e-2,1.0059759031582662e-2,1.9909301772618897e-2
Anglican_HMM20_IPMCMC7-5-5,7.314162791429721e-2,6.681776424966855e-2,7.684048082852665e-2,7.4290201177785635e-3,8.240288711862268e-4,1.025902194453646e-2
Anglican_HMM20_IPMCMC8-5-5,6.832658458733079e-2,6.0719982123051755e-2,7.756539448647712e-2,1.4797486969042322e-2,1.1387762113392768e-2,2.0364141140466516e-2
Anglican_HMM20_IPMCMC9-5-5,6.529711759756066e-2,5.861124792588942e-2,7.182636396082333e-2,1.1603430608660292e-2,9.54544931037479e-3,1.3644211753542723e-2
Anglican_HMM20_IPMCMC10-5-5,7.361998238144335e-2,6.803530711851684e-2,7.672090291845937e-2,6.760207190507508e-3,3.6259393238607476e-3,1.0687230776352774e-2
Anglican_LDA10_IPMCMC1-5-5,7.689709988695505e-2,7.482421913342371e-2,7.801577251092669e-2,2.5942007213262826e-3,9.51598164531522e-4,4.301963479700083e-3
Anglican_LDA10_IPMCMC2-5-5,7.498809635970857e-2,7.105186115182949e-2,7.678678441520381e-2,4.662537462796086e-3,1.9268619141270189e-3,7.723689690925661e-3
Anglican_LDA10_IPMCMC3-5-5,7.249276800540189e-2,6.753857078644372e-2,7.634903191944216e-2,6.945343454549537e-3,5.007045974437266e-3,9.866616092318476e-3
Anglican_LDA10_IPMCMC4-5-5,7.400036346407136e-2,6.913371472837769e-2,7.641198597617556e-2,5.612201665941521e-3,3.2419904394388366e-3,8.720652442743672e-3
Anglican_LDA10_IPMCMC5-5-5,6.968968795355904e-2,6.379702125038685e-2,7.820797540909427e-2,1.1734775211046275e-2,7.970175343394243e-3,1.7878253591809678e-2
Anglican_LDA10_IPMCMC6-5-5,6.439878822269414e-2,5.877954483344614e-2,7.077733798507121e-2,1.069266256027928e-2,8.209930255738383e-3,1.3859428294063135e-2
Anglican_LDA10_IPMCMC7-5-5,6.931961680636362e-2,6.271729234541616e-2,7.445512539893526e-2,1.0293898846405762e-2,6.623164425664184e-3,1.5123528377884153e-2
Anglican_LDA10_IPMCMC8-5-5,7.493181738919183e-2,6.779937935365972e-2,8.236938524083928e-2,1.248010893274015e-2,9.363654436638835e-3,1.647356642829511e-2
Anglican_LDA10_IPMCMC9-5-5,7.08761881011118e-2,6.475069639687947e-2,7.967763307283031e-2,1.2402652682320185e-2,8.004592061269937e-3,1.8306086149887577e-2
Anglican_LDA10_IPMCMC10-5-5,7.052987159476029e-2,6.130181878091591e-2,7.760342938249776e-2,1.2871327154857904e-2,8.592328491412261e-3,1.7720475140149215e-2
